"","Year","Spain","UK","France","Poland","Belgium","Germany","Sweden","Greece","Region"
"1838",1838,9.53222476102126e-13,0.0997296980152932,0.00222094897055993,9.13462815958084e-09,0.898007970450083,1.07971457860999e-07,4.12654570074469e-05,1.75958544914185e-14,"North"
"1854",1854,6.33252374528497e-12,0.108214937671063,0.00436250418789894,1.97900274857309e-08,0.887361124946074,2.97272251851793e-07,6.11161262470346e-05,1.0599992812607e-13,"North"
"1863",1863,6.4086351970843e-13,0.272012938058473,0.00193681012375283,3.1148747260728e-11,0.726049677000205,1.67413592313081e-09,5.73111643155794e-07,2.56424546206077e-16,"North"
"1867",1867,3.69210156490159e-17,0.317108402223679,5.99162122484366e-05,2.73809221210558e-14,0.682831674197994,1.03008119003554e-12,7.36502108077303e-09,3.05903523015424e-21,"North"
"1870",1870,1.92973496834436e-16,0.23099711552193,0.000110777809226755,5.43884691358779e-13,0.768892045376395,1.30604729600096e-11,6.12788436065084e-08,7.16709602860066e-20,"North"
"1875",1875,1.86340590865051e-16,0.511180025850658,7.59939530119852e-05,2.48940063913968e-15,0.488743979108978,1.59349948261183e-13,1.0871901592523e-09,6.36782992911931e-22,"North"
"1877",1877,7.33544252719096e-14,0.463517726633097,0.00081716546280823,1.86885966427235e-13,0.535665094003312,2.5246743472585e-11,1.38752760782252e-08,1.83768314965486e-18,"North"
"1879",1879,3.40885703404846e-12,0.741702818620003,0.00226624575079975,7.66631825502122e-15,0.256030934931994,6.33044817963755e-12,6.87455935772914e-10,3.02543366838053e-18,"North"
"1882",1882,1.38464023949715e-05,0.565305971879696,0.316589538044388,8.32093047217585e-12,0.1180905847951,3.5852554992809e-08,2.30057454428783e-08,1.17990578042412e-11,"North"
"1883",1883,5.27310480347157e-18,0.617550107961431,2.40330435277704e-05,2.83168438928546e-17,0.382425858952203,4.61547530750347e-15,4.28344125341444e-11,7.94732843469312e-24,"North"
"1884",1884,8.15027531307703e-18,0.613399142529702,2.81096258818945e-05,3.99972960494188e-17,0.386572747791097,6.55493250652272e-15,5.3312246470304e-11,1.3435243406003e-23,"North"
"1885",1885,7.36784848952489e-19,0.581518361617532,1.24893608483462e-05,1.6714217295948e-17,0.418469148985768,1.96635045546109e-15,3.58499075083831e-11,1.46508695628477e-24,"North"
"1886",1886,1.55782992131539e-18,0.581350441559611,1.62424314327698e-05,2.63686897275815e-17,0.418633315962005,3.26454429657471e-15,4.69478420405004e-11,3.2856323869747e-24,"North"
"1887",1887,8.94469852435381e-13,0.419604506764361,0.00203801893392978,1.97345104517953e-12,0.578357408874968,2.51251619814932e-10,6.51726219196116e-08,4.91163639605527e-17,"North"
"1889",1889,1.68351008745719e-18,0.583688551395146,1.44706765243333e-05,2.2160444006134e-17,0.416296977886679,2.8294465913765e-15,4.16475203877204e-11,3.44461626514827e-24,"North"
"1891",1891,4.02114976350316e-16,0.4544094086091,0.000130163432927041,8.60747897217778e-15,0.54546042566139,7.95440824207427e-13,2.29577855601413e-09,6.87756263380105e-21,"North"
"1892",1892,3.60680413626234e-17,0.498744798866286,4.93659608023197e-05,2.01350947869454e-15,0.501205834346777,1.53406563931434e-13,8.2597922055898e-10,6.13821617263569e-22,"North"
"1893",1893,5.51347537898766e-17,0.586430288623202,5.73219680868325e-05,2.1839489052238e-16,0.41351238924683,3.51747442708894e-14,1.61845750621757e-10,1.52398153321799e-22,"North"
"1894",1894,2.14795777778945e-15,0.576397422902089,0.000174675648526525,2.79316327276682e-15,0.423427900756762,5.22029434158128e-13,6.92095885893266e-10,1.25243045226631e-20,"North"
"1896",1896,3.01932436253965e-15,0.506898726036824,0.000254588355135825,1.14995605975527e-14,0.492846683335768,1.58651037054174e-12,2.27067046952489e-09,3.25155576049761e-20,"North"
"1897",1897,3.93260141402547e-18,0.612619925975014,2.10018111814943e-05,2.72761792361164e-17,0.387359072169948,3.89270492611814e-15,4.38520079621701e-11,5.65721018470139e-24,"North"
"1898",1898,9.98390564155215e-17,0.572863223423824,6.8276907675423e-05,9.70099474242979e-16,0.427068499251309,1.15126611657541e-13,4.17074541720691e-10,7.23464576213835e-22,"North"
"1899",1899,1.57089072502943e-17,0.42637139753659,4.12110835586394e-05,2.35969175061144e-15,0.573587390217616,1.43421015061259e-13,1.16208921743278e-09,3.49865752807191e-22,"North"
"1902",1902,3.65403804713642e-18,0.486466208629791,2.39633404815359e-05,2.58735267289918e-16,0.513509827773325,2.06726544526088e-14,2.56381024626907e-10,2.70416183038489e-23,"North"
"1904",1904,1.25402099682383e-12,0.532607655282384,0.000931983191042049,4.38756803027255e-14,0.466460352722295,2.17495375605087e-12,8.80080594362032e-09,4.33405253945637e-19,"North"
"1906",1906,7.62438297102798e-16,0.388572334634168,0.000125805775373703,2.77147217393444e-13,0.611301834624363,1.08843584905298e-11,2.49549334773759e-08,1.46177841392648e-19,"North"
"1914",1914,3.91227832930543e-14,0.392712633302321,0.000402501557573835,1.16951896455516e-12,0.60688481998383,7.82138611970799e-11,4.50768520781826e-08,6.37930962517222e-18,"North"
"1915",1915,1.42437826163379e-09,0.0263217768116167,0.025274146647517,0.000305995714782749,0.897691973260544,0.0010879544131363,0.0493181482703414,3.45768389363059e-09,"North"
"1916",1916,2.06097365075893e-16,0.506434017676221,7.37565483800271e-05,5.62875243215046e-15,0.493492224347347,4.88846432859546e-13,1.42755778352908e-09,4.35852856546218e-21,"North"
"1918",1918,3.36799729019182e-17,0.493932853167953,5.24173904553502e-05,9.01064921436506e-16,0.506014728917323,8.6687194432385e-14,5.24181511772377e-10,2.81762449231757e-22,"North"
"1922",1922,2.90909118303349e-18,0.535103341876206,1.989095907224e-05,9.24396690055036e-17,0.464876767050365,9.25924123978058e-15,1.14348042768959e-10,1.27814037372843e-23,"North"
"1923",1923,3.37517899766451e-15,0.422112484006407,0.000201643156062865,5.90447048223157e-14,0.577685866023554,5.11902944750905e-12,6.80879428526019e-09,1.34543487323746e-19,"North"
"1925",1925,5.31391597424933e-16,0.236732512208086,0.000158117398603645,8.79054130807574e-13,0.76310929082036,2.33851196165056e-11,7.95486857595591e-08,1.93869485080573e-19,"North"
"1926",1926,2.17804874507763e-15,0.249478458256455,0.000261332473223073,1.57475311602604e-12,0.75026010231057,5.00408541119913e-11,1.06908134351824e-07,7.45456748489496e-19,"North"
"1927",1927,1.33153707681454e-18,0.496133948351005,1.65838244348253e-05,1.15184514629149e-16,0.503849467672062,9.07881078470719e-15,1.52489470292488e-10,7.95823069254555e-24,"North"
"1928",1928,3.39276551533317e-15,0.668500351624221,0.000222257694031515,5.58783054692221e-16,0.331277390476816,1.84835714601988e-13,2.04742970856456e-10,4.73264476426625e-21,"North"
"1930",1930,1.20403433937924e-15,0.425427287872443,0.000147141635558569,9.86488513340348e-14,0.574425559654318,5.81642502619108e-12,1.08317645086396e-08,9.74863947870619e-20,"North"
"1932",1932,1.84595119604318e-15,0.57464545061736,0.000201389886448962,2.45567318985013e-15,0.425153158781468,4.63769242736443e-13,7.14254522417473e-10,8.31420881767906e-21,"North"
"1933",1933,5.81396254821215e-16,0.644333417884343,0.000122971591711854,3.04608227330432e-16,0.355543610366173,7.83298721950217e-14,1.57692259308631e-10,9.44496486380561e-22,"North"
"1934",1934,1.52634917417839e-12,0.547138380663309,0.000875905268070036,4.4325485378307e-13,0.451985702684997,9.25543262129343e-11,1.12890998973962e-08,4.95223505524865e-17,"North"
"1935",1935,3.33340587277294e-13,0.286956117089794,0.00101666402109994,5.94269298649846e-11,0.71202642147624,2.19936451347845e-09,7.95153740396096e-07,3.37762987145777e-16,"North"
"1936",1936,1.21246299422366e-17,0.533478606172738,3.5382136081159e-05,2.29289003074887e-16,0.466486011488828,2.54010241733211e-14,2.02326893524758e-10,5.66085877231082e-23,"North"
"1937",1937,6.16641821266801e-18,0.556132330912199,2.71387088722214e-05,9.94003603713415e-17,0.44384053026553,1.17714617357858e-14,1.13386332243788e-10,2.03166407115121e-23,"North"
"1938",1938,3.28018022468838e-16,0.354838976477499,9.06582424929964e-05,4.33100426097614e-13,0.645070326976716,1.21994967233399e-11,3.82906587822313e-08,1.14299774250479e-19,"North"
"1939",1939,0.155601399804732,0.422624871466614,0.0112494560825899,1.45715802891345e-12,0.410524200095006,1.77065330365663e-08,3.33334351976626e-08,2.15096329253086e-08,"North"
"1941",1941,0.827007670658111,0.000134176483271136,0.170369151627784,9.77244988491329e-07,0.000148619934003783,0.00161839192102163,4.84506372226416e-06,0.000716167067097311,"North"
